Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
820959;PEDIDO 820959;13/05/2026;TEMPERO COMPLETO TIO JONAS 300g- COM PIMENTA;77293314;UN;2;3,29;6,58;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;LAVA LOUÇA DETERGENTE OESTE 500ML - NEUTRO;3339160025;UN;2;2,69;5,38;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;ARROZ TIO BONINI 5KG;P0026;UN;3;18,20;54,60;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;4;7,89;31,56;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;3;5,99;17,97;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;4;6,79;27,16;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;SAL CRISTAL OURO 1KG;P0304;UN;1;2,79;2,79;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;FARINHA TRIGO VITORIOSA 1KG;P0151;UN;2;3,69;7,38;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;CAFÉ  CABOCLO VACUO 250G;C0067;UN;3;15,90;47,70;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;MACARRÃO ESPAGUETE QDELICIA OVOS 500G;P497;UN;4;2,79;11,16;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;MOLHO DE TOMATE FUGINI 300G;P0244;UN;4;1,79;7,16;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;SUCO PO FRISCO UVA 18G;P0311;UN;5;0,85;4,25;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;PAPEL HIGIÊNICO SOBERANO 4X30M;A102;UN;2;5,29;10,58;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;LAVA ROUPA SABÃO PO OMO 800G LAVANDA;0554800381;UN;1;15,90;15,90;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;SABÃO EM BARRA YPE 800G;P491;UN;1;15,90;15,90;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;AMACIANTE YPE 2L ACONCHEGO;P0018;UN;1;11,90;11,90;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;QBOA ÁGUA SANITÁRIA 1L;P0015;UN;1;4,89;4,89;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;DESINFETANTE REMMUS AMAZON VERDE 2LTS;P447;UN;1;5,99;5,99;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
820959;PEDIDO 820959;13/05/2026;ESPONJA DE AÇO ASSOLAN 45G;P0144;UN;1;1,99;1,99;290,84;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM (Gestor);1;13/05/2026
