NOME;DESCRIÇÃO;MARCA;VALOR;ESTOQUE;CATEGORIA;SUBCATEGORIA;SUBSUB CATEGORIA;TAG GLOBAL;EMBALAGEM;LINK DA IMAGEM
" MASCARA DE TRATAMENTO TRESEMME BLINDAGEM ANTIUMIDADE 400G";" MASCARA DE TRATAMENTO TRESEMME BLINDAGEM ANTIUMIDADE 400G";TRESEMME;27.9;3;BELEZA;CABELO;;;400g;https://donaantonia.com.br/site/img/produtos/127221O.webp
ABOVE DESODORANTE MEN ELEMENTS VULCAN 150ML;ABOVE DESODORANTE MEN ELEMENTS VULCAN 150ML;ABOVE;11.9;6;DESODORANTE;AEROSOL;;;150ml;https://donaantonia.com.br/site/img/produtos/P5518.webp
ABRAÇADEIRA DE NYLON 150mm - 1 UNIDADE - BRANCA;ABRAÇADEIRA DE NYLON 150mm - 1 UNIDADE - BRANCA;;0.1;480;UTENSÍLIOS E UTILIDADES;CASA;;;;https://donaantonia.com.br/site/img/produtos/P334.webp
ABRAÇADEIRA DE NYLON 150mm - 1 unidade - PRETA;ABRAÇADEIRA DE NYLON 150mm - 1 unidade - PRETA;;0.1;500;UTENSÍLIOS E UTILIDADES;CASA;;;;https://donaantonia.com.br/site/img/produtos/P335.webp
ABRIDOR DE GARRAFA DE INOX - 10CM;ABRIDOR DE GARRAFA DE INOX - 10CM;;3.5;10;UTENSÍLIOS E UTILIDADES;COZINHA;ACESSÓRIOS;;;https://donaantonia.com.br/site/img/produtos/P337.webp
ABRIDOR DE GARRAFA E LATA DE METAL - 9CM;ABRIDOR DE GARRAFA E LATA DE METAL - 9CM;;3.9;6;UTENSÍLIOS E UTILIDADES;COZINHA;ACESSÓRIOS;;;https://donaantonia.com.br/site/img/produtos/P336.webp
ABSORVENTE COTTON LINE COM ABAS - 8UN;ABSORVENTE COTTON LINE COM ABAS - 8UN;;3.69;12;HIGIENE;ABSORVENTE;;;;https://donaantonia.com.br/site/img/produtos/P333.webp
ABSORVENTE DIANA COM ABAS SUAVE - 8UN;ABSORVENTE DIANA COM ABAS SUAVE - 8UN;;4.5;20;HIGIENE;ABSORVENTE;;;;https://donaantonia.com.br/site/img/produtos/P504.webp
ABSORVENTE INTERNO OB MEDIO - 10 UN;ABSORVENTE INTERNO OB MEDIO - 10 UN;;11.9;3;HIGIENE;;;;;https://donaantonia.com.br/site/img/produtos/P0002.webp
ABSORVENTE INTERNO OB SUPER 10UN;ABSORVENTE INTERNO OB SUPER 10UN;;13.9;3;HIGIENE;ABSORVENTE;;;;https://donaantonia.com.br/site/img/produtos/P516.webp
ABSORVENTE INTIMUS COM ABAS 8UN;ABSORVENTE INTIMUS COM ABAS 8UN;;6.9;12;HIGIENE;ABSORVENTE;;;;https://donaantonia.com.br/site/img/produtos/P0004.webp
ABSORVENTE SEMPRE LIVRE COM ABAS SUAVE 8UN;ABSORVENTE SEMPRE LIVRE COM ABAS SUAVE 8UN;;5.9;12;HIGIENE;ABSORVENTE;;;;https://donaantonia.com.br/site/img/produtos/P0006.webp
ABSORVENTE SYM COM ABAS SUAVE - 16un;ABSORVENTE SYM COM ABAS SUAVE - 16un;;8.9;6;HIGIENE;ABSORVENTE;;;;https://donaantonia.com.br/site/img/produtos/P0007.webp
ACETONA FARMAX 100ML;ACETONA FARMAX 100ML;;3.69;10;BELEZA;MANICURE;;;100ml;https://donaantonia.com.br/site/img/produtos/P527.webp
ACHOCOLATADO 3 CORAÇÕES - 350G;ACHOCOLATADO 3 CORAÇÕES - 350G;3 CORAÇÕES;8.49;21;CAFE DA MANHÃ;;;;350g;https://donaantonia.com.br/site/img/produtos/P562.webp
ACHOCOLATADO APTI 200GR;ACHOCOLATADO APTI 200GR;APTI;3.9;10;CAFE DA MANHÃ;ACHOCOLATADO;;;;https://donaantonia.com.br/site/img/produtos/P0009.webp
Achocolatado em Po Morango Nesquik 380g;Achocolatado em Po Morango Nesquik 380g;NESTLE;17.9;2;CAFE DA MANHÃ;ACHOCOLATADO;;;380g;https://donaantonia.com.br/site/img/produtos/187916A.webp
ACHOCOLATADO EM PÓ NESCAU 350G;ACHOCOLATADO EM PÓ NESCAU 350G;;11.9;36;CAFE DA MANHÃ;ACHOCOLATADO;;;350g;https://donaantonia.com.br/site/img/produtos/P571.webp
Achocolatado em Po Nescau 550G;Achocolatado em Po Nescau 550G;;21.9;1;CAFE DA MANHÃ;ACHOCOLATADO;;;550g;https://donaantonia.com.br/site/img/produtos/428909M.webp
ACHOCOLATADO LIQUIDO PIRAKIDS 200ML;ACHOCOLATADO LIQUIDO PIRAKIDS 200ML;PIRACANJUBA;1.8;127;CAFE DA MANHÃ;ACHOCOLATADO;;;200ml;https://donaantonia.com.br/site/img/produtos/P575.webp
