id,title,description,availability,condition,price,sale_price,sale_price_effective_date,link,image_link,brand,product_type,inventory,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,custom_number_3,custom_number_4,video[0].url,video[0].tag[0]
cesta-cestaeconomicacomarroztiobonini,Cesta Básica Economica Bonini com 14 produtos,"Cesta básica Economica Bonini com 14 unidades selecionadas: 1x Arroz Tio Bonini Unidade 5kg, 1x Feijão Carioca Da Casa Tipo 1 1kg, 1x Doce Dia Açúcar Cristal 2kg, 1x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Vitoriosa Farinha Trigo 1kg. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,92.00 BRL,,,https://donaantonia.com.br/cestas/economica-bonini-cestaeconomicacomarroztiobonini/,https://donaantonia.com.br/img/cesta-basica-cuiaba-varzea-grande-economica.avif,Dona Antônia,Cestas básicas,14,Cesta básica,Econômica,Cuiabá e Várzea Grande,14 produtos,Somente delivery,14,92,0,14,14,,
cesta-cestaminicomarroztiobonini,Cesta Básica Mini Bonini com 23 produtos,"Cesta básica Mini Bonini com 27 unidades selecionadas: 1x Arroz Tio Bonini Unidade 5kg, 2x Feijão Carioca Da Casa Tipo 1 1kg, 1x Doce Dia Açúcar Cristal 2kg, 2x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Café Torrado e Moído Café Brasileiro Tradicional 250g. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,175.00 BRL,,,https://donaantonia.com.br/cestas/mini-bonini-cestaminicomarroztiobonini/,https://donaantonia.com.br/img/CESTA-MINI-BONINI.webp,Dona Antônia,Cestas básicas,58,Cesta básica,Mini,Cuiabá e Várzea Grande,23 produtos,Somente delivery,58,175,0,23,27,,
cesta-cestaminicomarrozkoblenz,Cesta Básica Mini Koblenz com 23 produtos,"Cesta básica Mini Koblenz com 27 unidades selecionadas: 1x Arroz Branco Tipo 1 Koblenz 5kg, 2x Feijão Carioca Da Casa Tipo 1 1kg, 1x Doce Dia Açúcar Cristal 2kg, 2x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Café Torrado e Moído Café Brasileiro Tradicional 250g. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,180.00 BRL,,,https://donaantonia.com.br/cestas/mini-koblenz-cestaminicomarrozkoblenz/,https://donaantonia.com.br/img/CESTA-MINI-KOBLENZ.webp,Dona Antônia,Cestas básicas,58,Cesta básica,Mini,Cuiabá e Várzea Grande,23 produtos,Somente delivery,58,180,0,23,27,,
cesta-cestapequenacomarroztiobonini,Cesta Básica Pequena Bonini com 27 produtos,"Cesta básica Pequena Bonini com 34 unidades selecionadas: 2x Arroz Tio Bonini Unidade 5kg, 2x Feijão Carioca Da Casa Tipo 1 1kg, 1x Doce Dia Açúcar Cristal 2kg, 2x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Vitoriosa Farinha Trigo 1kg. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,230.00 BRL,,,https://donaantonia.com.br/cestas/pequena-bonini-cestapequenacomarroztiobonini/,https://donaantonia.com.br/img/CESTA-PEQUENA-BONINI.webp,Dona Antônia,Cestas básicas,14,Cesta básica,Pequena,Cuiabá e Várzea Grande,27 produtos,Somente delivery,14,230,0,27,34,,
cesta-cestapequenacomarrozkoblenz,Cesta Básica Pequena Koblenz com 27 produtos,"Cesta básica Pequena Koblenz com 34 unidades selecionadas: 2x Arroz Branco Tipo 1 Koblenz 5kg, 2x Feijão Carioca Da Casa Tipo 1 1kg, 1x Doce Dia Açúcar Cristal 2kg, 2x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Vitoriosa Farinha Trigo 1kg. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,240.00 BRL,,,https://donaantonia.com.br/cestas/pequena-koblenz-cestapequenacomarrozkoblenz/,https://donaantonia.com.br/img/CESTA-PEQUENA-KOBLENZ.webp,Dona Antônia,Cestas básicas,14,Cesta básica,Pequena,Cuiabá e Várzea Grande,27 produtos,Somente delivery,14,240,0,27,34,,
cesta-cestamediacomarrozkoblenz,Cesta Básica Média Koblenz com 27 produtos,"Cesta básica Média Koblenz com 44 unidades selecionadas: 3x Arroz Branco Tipo 1 Koblenz 5kg, 3x Feijão Carioca Da Casa Tipo 1 1kg, 2x Doce Dia Açúcar Cristal 2kg, 3x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Vitoriosa Farinha Trigo 1kg. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,350.00 BRL,,,https://donaantonia.com.br/cestas/media-koblenz-cestamediacomarrozkoblenz/,https://donaantonia.com.br/img/CESTA-MEDIA-KOBLENZ.webp,Dona Antônia,Cestas básicas,14,Cesta básica,Média,Cuiabá e Várzea Grande,27 produtos,Somente delivery,14,350,0,27,44,,
cesta-cestamediacomarroztiobonini,Cesta Básica Média Bonini com 27 produtos,"Cesta básica Média Bonini com 44 unidades selecionadas: 3x Arroz Tio Bonini Unidade 5kg, 3x Feijão Carioca Da Casa Tipo 1 1kg, 2x Doce Dia Açúcar Cristal 2kg, 3x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Vitoriosa Farinha Trigo 1kg. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,340.00 BRL,,,https://donaantonia.com.br/cestas/media-bonini-cestamediacomarroztiobonini/,https://donaantonia.com.br/img/CESTA-MEDIA-BONINI.webp,Dona Antônia,Cestas básicas,14,Cesta básica,Média,Cuiabá e Várzea Grande,27 produtos,Somente delivery,14,340,0,27,44,,
cesta-cestagrandecomarrozkoblenz,Cesta Básica Grande Koblenz com 27 produtos,"Cesta básica Grande Koblenz com 52 unidades selecionadas: 4x Arroz Branco Tipo 1 Koblenz 5kg, 4x Feijão Carioca Da Casa Tipo 1 1kg, 3x Doce Dia Açúcar Cristal 2kg, 4x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Vitoriosa Farinha Trigo 1kg. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,420.00 BRL,,,https://donaantonia.com.br/cestas/grande-koblenz-cestagrandecomarrozkoblenz/,https://donaantonia.com.br/img/CESTA-GRANDE-KOBLENZ.webp,Dona Antônia,Cestas básicas,14,Cesta básica,Grande,Cuiabá e Várzea Grande,27 produtos,Somente delivery,14,420,0,27,52,,
cesta-cestagrandecomarroztiobonini,Cesta Básica Grande Bonini com 27 produtos,"Cesta básica Grande Bonini com 52 unidades selecionadas: 4x Arroz Tio Bonini Unidade 5kg, 4x Feijão Carioca Da Casa Tipo 1 1kg, 3x Doce Dia Açúcar Cristal 2kg, 4x Liza Óleo de Soja 900ml, 1x Sal Cristal Ouro 1kg, 1x Vitoriosa Farinha Trigo 1kg. Entrega em Cuiabá e Várzea Grande pela Dona Antônia.",in stock,new,410.00 BRL,,,https://donaantonia.com.br/cestas/grande-bonini-cestagrandecomarroztiobonini/,https://donaantonia.com.br/img/CESTA-GRANDE-ALVINO.webp,Dona Antônia,Cestas básicas,14,Cesta básica,Grande,Cuiabá e Várzea Grande,27 produtos,Somente delivery,14,410,0,27,52,,
kit-novo-kit-promocional-1,Kit Roupas Limpa e Cheirosas com 2 produtos,"Mantenha suas roupas sempre limpas e perfumadas com este kit prático. Inclui: - 1 un OMO Lava-Roupas Líquido Lavagem Perfeita 3L - 1 un Downy Amaciante Concentrado Frescor da Primavera 3L Economia no kit: R$ 20,90 em comparação à compra avulsa.",in stock,new,95.80 BRL,74.90 BRL,,https://donaantonia.com.br/kits/kit-roupas-limpa-e-cheirosas-novo-kit-promocional-1/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-1.webp,Dona Antônia,Kits promocionais,1,Kit promocional,Promocional,Cuiabá e Várzea Grande,2 produtos,Somente delivery,1,74.9,21.82,2,2,,
